O ***next*** O ***next*** O  ***next*** O ***next*** O ***next*** O ***next*** O O O O  ***next*** 
O ***next*** O ***next*** O  ***next*** O ***next*** O ***next*** O O O O  ***next*** O O O O O O O  ***next*** 
O O  ***next*** O O O  ***next*** O O O O O O O O  ***next*** O ***next*** O O O O  ***next*** O O O O O O O  ***next*** O  ***next*** 
O  ***next*** O O O O O O O O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O  ***next*** O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O B-LOC-NONE-NONE-WATERSIDE O O O O O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O O O O  ***next*** 
O  ***next*** O O O O  ***next*** O O O O O  ***next*** O O O B-LOC-NONE-NONE-WATERSIDE I-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O B-LOC-NONE-NONE-WATERSIDE O O O O O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O O O O  ***next*** O O O  ***next*** 
O  ***next*** O O O O  ***next*** O O O O O  ***next*** O O O O B-LOC-NONE-NONE-WATERSIDE O O O O O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O O O O  ***next*** O O O  ***next*** O O  ***next*** 
O  ***next*** O O O O  ***next*** O O O O O  ***next*** O O O O O O O O O O  ***next*** O O O  ***next*** O O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O B-LOC-NONE-NONE-WATERSIDE O  ***next*** 
O  ***next*** O O O O  ***next*** O O O O O  ***next*** O O O  ***next*** O O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O B-LOC-NONE-NONE-WATERSIDE O  ***next*** O B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE B-TRSP-NONE-NONE-TYPE O B-LOC-NONE-NONE-ATTRACTION O O O O O B-TRSP-TO-NONE-STATION I-TRSP-TO-NONE-STATION O O  ***next*** 
O  ***next*** O O O O  ***next*** O O O O O  ***next*** O O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O B-LOC-NONE-NONE-WATERSIDE O  ***next*** O B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE B-TRSP-NONE-NONE-TYPE O B-LOC-NONE-NONE-ATTRACTION O O O O O B-TRSP-TO-NONE-STATION I-TRSP-TO-NONE-STATION O O  ***next*** O O O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** 
O  ***next*** O O O O  ***next*** O O O O O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O B-LOC-NONE-NONE-WATERSIDE O  ***next*** O B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE B-TRSP-NONE-NONE-TYPE O B-LOC-NONE-NONE-ATTRACTION O O O O O B-TRSP-TO-NONE-STATION I-TRSP-TO-NONE-STATION O O  ***next*** O O O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O B-LOC-NONE-NONE-ATTRACTION O  ***next*** 
O O O  ***next*** O O O O  ***next*** O O O B-LOC-FROM-NONE-WATERSIDE O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O B-TRSP-NONE-NONE-TYPE I-TRSP-NONE-NONE-TYPE B-TRSP-NONE-NONE-TYPE O B-LOC-NONE-NONE-ATTRACTION O O O O O B-TRSP-TO-NONE-STATION I-TRSP-TO-NONE-STATION O O  ***next*** O O O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** 
O O O  ***next*** O O O O  ***next*** O O O B-LOC-FROM-NONE-WATERSIDE O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O O B-LOC-NONE-NONE-WATERSIDE  ***next*** O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O O O B-DET-NONE-NONE-MAIN  ***next*** 
O O O  ***next*** O O O O  ***next*** O O O B-LOC-FROM-NONE-WATERSIDE O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O O O B-DET-NONE-NONE-MAIN  ***next*** O O O O O  ***next*** 
O O O  ***next*** O O O O  ***next*** O O O B-LOC-FROM-NONE-WATERSIDE O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O O O O B-DET-NONE-NONE-MAIN  ***next*** O O O O O  ***next*** O O O B-LOC-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION  ***next*** 
O O O  ***next*** O O O O  ***next*** O O O B-LOC-FROM-NONE-WATERSIDE O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O B-DET-NONE-NONE-MAIN  ***next*** O O O O O  ***next*** O O O B-LOC-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION  ***next*** O O  ***next*** 
O O O  ***next*** O O O O  ***next*** O O O B-LOC-FROM-NONE-WATERSIDE O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O O  ***next*** O O O B-LOC-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION  ***next*** O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN  ***next*** 
O O O O  ***next*** O O O B-LOC-FROM-NONE-WATERSIDE O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O  ***next*** O O O B-LOC-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION  ***next*** O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** 
O O O O  ***next*** O O O B-LOC-FROM-NONE-WATERSIDE O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O  ***next*** O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O  ***next*** 
O O O O  ***next*** O O O B-LOC-FROM-NONE-WATERSIDE O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O  ***next*** O O O O O B-LOC-NONE-NONE-MAIN O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** 
O O O O  ***next*** O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O  ***next*** O O O O O B-LOC-NONE-NONE-MAIN O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** 
O O O O  ***next*** O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O O  ***next*** O O O O O B-LOC-NONE-NONE-MAIN O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O  ***next*** 
O O O O  ***next*** O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O O O B-LOC-NONE-NONE-MAIN O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O O O O  ***next*** 
O O O O  ***next*** O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O O O O  ***next*** O O O O O  ***next*** 
O O O O  ***next*** O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O O O O  ***next*** O O O O O  ***next*** O O O O O O O O O O O O O O O  ***next*** 
O O O O  ***next*** O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O O O O  ***next*** O O O O O  ***next*** O O O O O O O O O O O O O O O  ***next*** O O  ***next*** 
O O O O  ***next*** O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O O O  ***next*** O O O O O O O O O O O O O O O  ***next*** O O  ***next*** O O O O O O O O O O O  ***next*** 
O O O O  ***next*** O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O O O O O O O O O O O O O  ***next*** O O  ***next*** O O O O O O O O O O O  ***next*** O O O O O O O O O O O  ***next*** 
O O O O  ***next*** O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O O  ***next*** O O O O O O O O O O O  ***next*** O O O O O O O O O O O  ***next*** O O  ***next*** 
O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O O O O O O O O O O  ***next*** O O O O O O O O O O O  ***next*** O O  ***next*** O  ***next*** 
O O O O O O O  ***next*** O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O O O O O O O O O O  ***next*** O O  ***next*** O  ***next*** O O O O O  ***next*** 
O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O O O O O  ***next*** O O  ***next*** O  ***next*** O O O O O  ***next*** O O  ***next*** 
O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O O O O O  ***next*** O  ***next*** O O O O O  ***next*** O O  ***next*** O  ***next*** 
O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN B-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O O O O O  ***next*** O O O O O  ***next*** O O  ***next*** O  ***next*** O O O O O O O O O O  ***next*** 
O  ***next*** O O O O O O  ***next*** O O  ***next*** O O  ***next*** O  ***next*** O O O O O O O O O O  ***next*** O  ***next*** 
O  ***next*** O O O O O O  ***next*** O O  ***next*** O  ***next*** O O O O O O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** 
O  ***next*** O O O O O O  ***next*** O O  ***next*** O O O O O O O O O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O  ***next*** 
O  ***next*** O O O O O O  ***next*** O O  ***next*** O  ***next*** O O O O O O O O  ***next*** O O O O  ***next*** O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O  ***next*** 
O  ***next*** O O O O O O  ***next*** O O  ***next*** O O O O O O O O  ***next*** O O O O  ***next*** O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O  ***next*** 
O O O O O O  ***next*** O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O O O  ***next*** O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O  ***next*** O O O O O O O O O O O  ***next*** 
O O O O O O  ***next*** O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O  ***next*** O O O O O O O O O O O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O B-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES I-FEE-NONE-NONE-SERVICES O O O  ***next*** O O O O O O O O O O O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O O O O O O O O O O O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O  ***next*** O  ***next*** O O  ***next*** O O O O  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O  ***next*** O O  ***next*** O O O O  ***next*** O O  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O O  ***next*** O O O O  ***next*** O O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O O O O  ***next*** O O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O O O O O O O O O B-LOC-TO-NONE-ATTRACTION I-LOC-TO-NONE-ATTRACTION  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O O O O O O O O O B-LOC-TO-NONE-ATTRACTION I-LOC-TO-NONE-ATTRACTION  ***next*** O O O O O O O  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O O O O O O O O O B-LOC-TO-NONE-ATTRACTION I-LOC-TO-NONE-ATTRACTION  ***next*** O O O O O O O  ***next*** O O O O O  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O O O O O O O O O O B-LOC-TO-NONE-ATTRACTION I-LOC-TO-NONE-ATTRACTION  ***next*** O O O O O O O  ***next*** O O O O O  ***next*** O O O  ***next*** 
O O B-TIME-NONE-NONE-INTERVAL I-TIME-NONE-NONE-INTERVAL O O O O O O O O O O O O  ***next*** O O  ***next*** O O  ***next*** O O O O O O O  ***next*** O O O O O  ***next*** O O O  ***next*** O O O O O O O O O O O O O O O O  ***next*** 
O O  ***next*** O O  ***next*** O  ***next*** O O O O O  ***next*** O O O  ***next*** O O O O O O O O O O O O O O O O  ***next*** O  ***next*** 
O O  ***next*** O O  ***next*** O  ***next*** O O O  ***next*** O O O O O O O O O O O O O O O O  ***next*** O  ***next*** O O O O O O O O O O O O O O O  ***next*** 
O O  ***next*** O O  ***next*** O  ***next*** O O O O O O O O O O O O O O O O  ***next*** O  ***next*** O O O O O O O O O O O O O O O  ***next*** O O O O O O O O O O  ***next*** 
O O O O O O  ***next*** O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O O O O O O O O O O O O O O O  ***next*** O O O O O O O O O O  ***next*** O  ***next*** 
O O O O O O  ***next*** O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O O O O O O O O O O O O  ***next*** O O O O O O O O O O  ***next*** O  ***next*** B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** 
O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O O  ***next*** O O O O O O O O O O  ***next*** O  ***next*** B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** O O O O O O O B-AREA-NONE-DIRECTION-NORTH-CITY  ***next*** 
O O O O O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O O  ***next*** O  ***next*** B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** O O O O O O O B-AREA-NONE-DIRECTION-NORTH-CITY  ***next*** O O O O O O B-TRSP-NONE-NONE-TYPE O O B-TRSP-NONE-NONE-TYPE  ***next*** 
O O O O O  ***next*** O  ***next*** O O O O B-LOC-FROM-NONE-HOTEL  ***next*** B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN O  ***next*** O O O O O O O B-AREA-NONE-DIRECTION-NORTH-CITY  ***next*** O O O O O O B-TRSP-NONE-NONE-TYPE O O B-TRSP-NONE-NONE-TYPE  ***next*** O  ***next*** 
O  ***next*** O O O O B-LOC-FROM-NONE-HOTEL  ***next*** O  ***next*** O O O O O O O B-AREA-NONE-DIRECTION-NORTH-CITY  ***next*** O O O O O O B-TRSP-NONE-NONE-TYPE O O B-TRSP-NONE-NONE-TYPE  ***next*** O  ***next*** O  ***next*** 
O  ***next*** O O O O B-LOC-FROM-NONE-HOTEL  ***next*** O  ***next*** O O O O O O B-TRSP-NONE-NONE-TYPE O O B-TRSP-NONE-NONE-TYPE  ***next*** O  ***next*** O  ***next*** O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** 
O O O O B-LOC-FROM-NONE-HOTEL  ***next*** O  ***next*** O  ***next*** O  ***next*** O  ***next*** O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** 
O  ***next*** O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O O  ***next*** 
O  ***next*** O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** 
O  ***next*** O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O  ***next*** O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION O O O O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN  ***next*** 
O  ***next*** O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION O O O O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN  ***next*** O O O O O O O O O O O O O O O O  ***next*** 
O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION O O O O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN  ***next*** O O O O O O O O O O O O O O O O  ***next*** O O  ***next*** 
O  ***next*** O O O O O O B-DET-NONE-NONE-MAIN I-DET-NONE-NONE-MAIN  ***next*** O O  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION O O O O B-TIME-NONE-NONE-MAIN I-TIME-NONE-NONE-MAIN  ***next*** O O O O O O O O O O O O O O O O  ***next*** O O  ***next*** O O O O O B-DET-NONE-NONE-NATURE O O O O O O O O O  ***next*** 
O O  ***next*** O  ***next*** O  ***next*** O O O O O O O O O O O O O O O O  ***next*** O O  ***next*** O O O O O B-DET-NONE-NONE-NATURE O O O O O O O O O  ***next*** O  ***next*** 
O  ***next*** O O O O O  ***next*** O O O O O O O O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION O O  ***next*** O O  ***next*** O O O O O B-DET-NONE-NONE-NATURE O O O O O O O O O  ***next*** O  ***next*** O  ***next*** 
O O O O O O O O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION O O  ***next*** O O O O O  ***next*** O O O  ***next*** O O O O O B-DET-NONE-NONE-NATURE O O O O O O O O O  ***next*** O  ***next*** O  ***next*** O  ***next*** 
O O O O O O O O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION O O  ***next*** O O O O O  ***next*** O O O  ***next*** O  ***next*** O  ***next*** O  ***next*** O  ***next*** 
O O O O O O O O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION O O  ***next*** O O O O O  ***next*** O O O  ***next*** O  ***next*** O  ***next*** O  ***next*** B-LOC-NONE-NONE-ATTRACTION  ***next*** 
O O O O O O O O B-FEE-NONE-NONE-ATTRACTION I-FEE-NONE-NONE-ATTRACTION O O  ***next*** O O O O O  ***next*** O O O  ***next*** O  ***next*** O  ***next*** B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O  ***next*** 
O O O O O  ***next*** O O O  ***next*** O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O B-DET-NONE-NONE-NATURE O  ***next*** 
O O O O O  ***next*** O O O  ***next*** O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** B-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O B-DET-NONE-NONE-NATURE O  ***next*** O  ***next*** 
O O O O O  ***next*** O O O  ***next*** O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O B-DET-NONE-NONE-NATURE O  ***next*** O  ***next*** O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE B-DET-NONE-NONE-NATURE O  ***next*** 
O O O O O  ***next*** O O O  ***next*** O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION O O O O O O O B-DET-NONE-NONE-NATURE O  ***next*** O  ***next*** O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE B-DET-NONE-NONE-NATURE O  ***next*** O  ***next*** 
O O O O O  ***next*** O O O  ***next*** O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** O  ***next*** O O B-DET-NONE-NONE-NATURE I-DET-NONE-NONE-NATURE B-DET-NONE-NONE-NATURE O  ***next*** O  ***next*** O O O O O O O O O O O O O B-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION I-LOC-NONE-NONE-ATTRACTION  ***next*** 
